Current local time and date: Fri Jan 24 19:10:54 2025

Limits: max lists: 10000, max nodes: 2000000000
Steps: 40

Step	Lists	Nodes
-----------------------------------
[01/40]	1	11
[02/40]	1	15
[03/40]	1	21
[04/40]	1	30
[05/40]	1	45
[06/40]	1	80
[07/40]	1	116
[08/40]	1	163
[09/40]	1	243
[10/40]	1	375
[11/40]	1	582
[12/40]	1	887
[13/40]	1	1303
[14/40]	1	1957
[15/40]	1	3018
[16/40]	1	4615
[17/40]	1	7086
[18/40]	1	10454
[19/40]	1	15811
[20/40]	1	24454
[21/40]	1	37090
[22/40]	1	56374
[23/40]	1	84820
[24/40]	1	129070
[25/40]	1	197357
[26/40]	2	298189
[27/40]	4	454327
[28/40]	4	688948
[29/40]	8	1043353
[30/40]	10	1591642
[31/40]	16	2413630
[32/40]	32	3668643
[33/40]	32	5570004
[34/40]	64	8443109
[35/40]	107	12865828
[36/40]	128	19513856
[37/40]	256	29626821
[38/40]	256	45056205
[39/40]	512	68325641
[40/40]	939	103919948

[finished 40 steps] TOTAL NODES: 103919948

Execution time = 214.000000 s
